"name","description","longitude","latitude","address"
"Borehole Swallet",,"-1.92804","53.24049","Grin Low Road, High Peak, England, SK17 9US, United Kingdom"
"Bossen Hole",,"-1.85182","53.18379","Dove Cottage, Tagg Lane, Crowdecote, England, SK17 0DB, United Kingdom"
"Bossen Hole",,"-1.66655","53.27811","Rock Mill Business Park, Derbyshire Dales, England, United Kingdom"
"Boulder Pot",,"-1.75579","53.19531","Church Street, Derbyshire Dales, England, DE45 1QT, United Kingdom"
"Bradwell Cave",,"-1.74024","53.32293","Hills Stile, The Green, Derbyshire Dales, England, S33 9GZ, United Kingdom"
"Bradwell Parish Cave",,"-1.74303","53.32186","Jeffrey Lane, Derbyshire Dales, England, S33 9JE, United Kingdom"
"Brightgate Cave",,"-1.60535","53.13559","Brightgate Farm, Derbyshire Dales, England, United Kingdom"
"Bunkers Hill Wood Cave",,"-1.57615","53.21729","Beeley Brook, DE4 2NS, United Kingdom"
"Butress Hole",,"-1.79822","53.34078","Winnats Pass, High Peak, England, S33 8WA, United Kingdom"
"Can Holes 2",,"-1.94153","53.2432","Leek Road, High Peak, England, SK17 6UQ, United Kingdom"
"Carder Low Fissure",,"-1.81152","53.16126","Carder Low, SK17 0AD, United Kingdom"
"Carlswark Eyam Dale Shaft",,"-1.67387","53.28017","Eyam Dale Shaft, The Dale, Derbyshire Dales, England, S32 5RP, United Kingdom"
"Castle Cave",,"-1.77899","53.05855","Dovedale Castle, Stepping Stones, Derbyshire Dales, England, DE6 2AX, United Kingdom"
"Cales Dale Badger Holes",,"-1.7441","53.18001","One Ash Grange Farm, Derbyshire Dales, England, United Kingdom"
"Cave Dale Cave 2B",,"-1.77718","53.33979","Peveril Castle, Cave Dale, High Peak, England, S33 8WQ, United Kingdom"
"Cavedale Cave No.4",,"-1.77793","53.33866","Cave Dale, High Peak, England, S33 8WQ, United Kingdom"
"Gorge Top Cave",,"-1.77814","53.33982","Devil's Arse (Peak Cavern), Cave Dale, High Peak, England, S33 8WQ, United Kingdom"
"Dow cave",,"-2.02638","54.16454","Dow Cave, Scabbate Gate, Kettlewell, England, BD23 5RP, United Kingdom"
"Fossil Pot",,"-1.97445","54.09851","spoil heap, Old Moor Lane, Grassington, England, BD23 5EQ, United Kingdom"
"Langcliffe Pot",,"-2.00795","54.13552","Langcliffe Pot, Highgate Leys Lane, England, BD23 5HT, United Kingdom"
"Oddmire Pot",,"-2.011","54.13811","old mine workings ?, Turf Road, England, BD23 5HU, United Kingdom"
"Providence Pot",,"-2.01354","54.15182","Providence Pot, 19th century mining path, England, BD23 5HU, United Kingdom"
"Birks Fell Cave",,"-2.10727","54.18862","Birks Fell Cave, Dubb's Lane, Buckden, England, BD23 5JD, United Kingdom"
"Rowantree Cave",,"-2.09571","54.1757","Slep Gill, BD23 5JU, United Kingdom"
"Bracken Cave",,"-2.12949","54.19993","Bracken Cave, Dubb's Lane, Buckden, England, BD23 5JE, United Kingdom"
"Hagg Gill Pot",,"-2.16434","54.20937","Hagg Gill, Deepdale Bridge, Skipton, England, BD23 5JJ, United Kingdom"
"Langstroth Cave",,"-2.15156","54.20644","Langstroth Cave, Deepdale Bridge, Skipton, England, BD23 5JJ, United Kingdom"
"Langstroth Cave (Middle entrance of)",,"-2.15082","54.2057","Langstroth Cave, Deepdale Bridge, Skipton, England, BD23 5JJ, United Kingdom"
"Langstroth Pot",,"-2.16068","54.20576","Jack's Cave, Deepdale Bridge, Buckden, England, BD23 5JJ, United Kingdom"
"Pasture Gill Pot",,"-2.14645","54.21","Pasture Gill Pot, Deepdale Bridge, Buckden, England, BD23 5JJ, United Kingdom"
"Strans Gill Pot",,"-2.12895","54.20537","Strans Gill, BD23 5JE, United Kingdom"
